id,movie_name,synopsis,genre,prediction,accuracy,evaluation
44978,Super Me,A young scriptwriter starts bringing valuable objects back from his short nightmares of being chased by a demon. Selling them makes him rich.,fantasy,horror,0,Accuracy w temp=0:
50185,Entity Project,A director and her friends renting a haunted house to capture paranormal events in order to prove it and become popular.,horror,horror,1,0.359
34131,Behavioral Family Therapy for Serious Psychiatric Disorders,This is an educational video for families and family therapists that describes the Behavioral Family Therapy approach to dealing with serious psychiatric illnesses.,family,family,1,
78522,Blood Glacier,Scientists working in the Austrian Alps discover that a glacier is leaking a liquid that appears to be affecting local wildlife.,scifi,horror,0,
2206,Apat na anino,Buy Day - Four Men Widely - Apart in Life - By Night Shadows United in One Fight Venting the Fire of their Fury Against the Hated Oppressors.,action,action,1,
46636,Le démon dans l'île,"On an island, things start going crazy as the islands house hold appliances go rogue. It's up to Dr. Gabrielle Martin to discover what's causing this evil, and much more.",horror,horror,1,
53777,Candid,A video voyeur stalks women in the city with a digital camera until he crosses paths with beautiful model who harbors a dark secret; she is a serial killer.,horror,Thriller.,0,
24872,Hired,"Twin brothers separated at birth and worlds apart, oblivious to each other existence they cross each other's paths when one is Hired by a gangster to take the other out.",crime,crime,1,
17224,Miruthan,A traffic police officer teams up with his friend and doctors in order to escape a deadly zombie apocalypse in the town and find out the possible antidote to stop it before time runs out.,adventure,horror,0,
54900,Until You See Me,A legendary tale unravels.,mystery,fantasy,0,
55570,Shamus,"Millions in diamonds are stolen from a safe in NYC and later the burglar is killed. Shamus is paid $10,000 by the owner to find the diamonds or killer.",mystery,crime,0,
51818,Crushed,A young woman returns home to her family vineyard after her father dies in an accident on the winery. But when his death is ruled a murder and her mother becomes the prime suspect she must uncover the truth.,horror,Mystery,0,
52119,Vampires,"Recovering from an ambush that killed his entire team, a vengeful vampire slayer must retrieve an ancient Catholic relic that, should it be acquired by vampires, will allow them to walk in sunlight.",horror,horror,1,
7285,The Rise of the Tiger,The mafia and their criminal activities.,action,crime,0,
3014,Doc Savage: The Man of Bronze,"Doc and the Amazing Five battle Captain Seas and ""the green death"" for control of a fabulous resource.",action,adventure,0,
6324,Naked Killer,A young woman is trained by a martial arts specialist to become a professional assassin.,action,action,1,
77823,Resistance,"After surviving a near fatal car crash, fungal biologist Gabby Paige regains consciousness in a hospital bed, inside a metal shipping container, buried underground only to learn that she may be the last hope for what remains of humanity.",scifi,scifi,1,
6615,Khaki,Khaki Vance Dubose is a Rodeo Girl. But then she gives up and becomes a Cheerleader.,action,family,0,
59024,Refugio,A Spanish Sorcerer travels through the ages pursuing an unlikely enemy.,mystery,fantasy,0,
32573,To the Beat!: Back 2 School,The story continues...at school.,family,family,1,
22750,Quiet Please: Murder,Book thief/forger sells a fake book to a Nazi through a female agent. A detective tries to uncover who the forger is and gets in the middle of a three way struggle for rare books and revenge in a public library.,crime,crime,1,
47357,Hide and Seek,"As a widower tries to piece together his life in the wake of his wife's suicide, his daughter finds solace, at first, in her imaginary friend.",horror,Horror.,1,
37081,Paranormal Investigators,"When strange phenomena starts happening in a small town, two colleagues are called into action to investigate.",fantasy,mystery,0,
747,L.A. Streetfighters,A Korean immigrant in L.A. encounters difficulties when he refuses to join the all-Korean gang in his highschool.,action,crime,0,
5118,The Four,"The Four,"" is a film encompassing the four horsemen of the apocalypse and their quest to gain control of the Earth, and the perils of one family in preventing them from doing so.",action,fantasy,0,
620,A Love to Die For,An over credulous best-selling author finds herself contemplating suicide after her son is kidnapped by a Russian businessman attempting to collect a debt from her recently deceased husband.,action,Thriller,0,
61591,The Land of Rock and Gold,"In a remote northern woodland community, a young First Nations mother and her 7-year-old son search for her boyfriend in the wake of his mysterious disappearance.",mystery,mystery,1,
25377,Cold War 2,"After the end of Cold War mission, a new incident is happened at Hong Kong. However, cops cannot catch the killer and the police suspects each other in the organization.",crime,crime,1,
22430,99 Murders,"Louippan had climbed the mountains for the tribals. Even though time later named him a naxalite, Luoippan was always a lone warrior. Even when his wife and child were living in the valley, ...                See full synopsis »",crime,drama,0,
