65380,Hearts That Are Human,Buskers give a home to a maid abandoned by a married seducer.,romance
51657,Dead Sushi,"Keiko, the daughter of a legendary sushi chef, runs away from home when his Karate-style regimen becomes too severe. Finding work at a rural hot springs inn, she is ridiculed by the eccentric staff and guests.",horror
45905,Pig Hunt,"When John takes his friends to his deceased uncle's remote ranch to hunt wild pigs, it seems like a typical guys weekend. But as John and his crew trek deeper into the forest, they begin tracking the awful truth about his uncle's demise.",horror
86135,Unit 7,A squad of four undercover cops are charged with cleaning up the streets of Seville from drugs and prostitution.,thriller
57096,Greystone,"Shot at Greystone Mansion in Beverly Hills, Greystone explores how an LA oil heir and his assistant might actually have died by restaging the historic killings using nothing but dialog from 32 feature films also shot at the estate.",mystery
1587,The Summer of Rage,A war veteran is forced into a life of crime and must survive not only the war on the streets but within himself.,action
53493,The Abominable Snowman,A kindly English botanist and a gruff American scientist lead an expedition to the Himalayas in search of the legendary Yeti.,horror
26043,Carry on Matron,"A gang of thieves plans to make their fortune by stealing a shipment of contraceptive pills from Finisham maternity hospital. They assume disguises and infiltrate the hospital, but everything doesn't go according to plan.",crime
67685,Moonlight Serenade,"Set during the Second World War, a young wife on the homefront copes with the legacy of her presumed dead bomber-pilot husband, and the secrets she kept from him.",romance
64745,Rendezvous in Paradise,"In a traditional upper class town 4 members of a very modern family will have to face their desires trying to reach the perfect love, the ultimate paradise.",romance
2664,Saints and Soldiers: The Void,The German war machine is in retreat. Two American M 18 tank destroyers are sent to root out a die hard group of Nazis holed up in the Harz Mountains.,action
84741,Darklands,A newspaper reporter is lured into a mire of pagan rituals and human sacrifice.,thriller
48115,Carnivore,"A government experiment goes totally wrong as a creature confined in a hidden lab inside and abandoned house escapes. Afterwards, some teens show up to have a little fun in the house, not knowing that the beast is loose and watching them.",horror
5516,Saving Borshia,A group of aspiring filmmakers must overcome a series of obstacles and conflicts as they strive to complete their cinematic masterpiece.,action
30029,Fantasia,"A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred.",family
77167,Neutron vs. the Maniac,"Neutron, a wrestler/superhero, investigates a series of murders at a sanitarium.",scifi
88060,Devil You Didn't Know,"With a string of murders plaguing a small town, Det. Kelly Lang's faith is put to the ultimate test as she tries to find the killer.",thriller
61878,Maataraani Mounamidhi,Ram's visit to his nephew Eswar's place takes a shocking turn when he finds the dead body of Eswar while Eswar finds Ram's dead body. Who is alive and who is dead?,mystery
